Feature,Coefficient,Abs_Coefficient,Cumulative_Importance
AttMap_L0_H6_0,0.16980954988143457,0.16980954988143457,0.12864699388684867
AttMap_L0_H11_0,0.16730783482338185,0.16730783482338185,0.2553986990693538
AttMap_L3_H8_50,-0.16702980258303443,0.16702980258303443,0.38193976820724723
GAM_L0_H11_confidence_max,0.15569959578107498,0.15569959578107498,0.4998971207861712
AttMap_L0_H11_50,-0.14944361070982087,0.14944361070982087,0.6131149656414143
AttMap_L0_H7_50,-0.14874192411371678,0.14874192411371678,0.7258012157111903
AttMap_L10_H7_50,-0.14556412667014834,0.14556412667014834,0.8360799799323679
AttMap_L6_H11_50,-0.14536414049771776,0.14536414049771776,0.9462072354785618
AttMap_L0_H8_0,0.13877188829334006,0.13877188829334006,1.0513402287489928
Spec_L9_H7_semantics,0.13785014688404512,0.13785014688404512,1.1557749146419551
GAM_L0_H8_confidence_max,0.1373719534637737,0.1373719534637737,1.259847323230388
AttMap_L0_H6_1,-0.1369130112551303,0.1369130112551303,1.36357203915047
AttMap_L0_H11_1,-0.13595052892563703,0.13595052892563703,1.4665675825449491
AttMap_L3_H1_100,-0.13072029756207937,0.13072029756207937,1.5656007248687924
AttMap_L7_H4_101,0.13029759409538788,0.13029759409538788,1.6643136288412976
AttMap_L1_H11_51,0.12963771801006402,0.12963771801006402,1.7625266134937534
AttMap_L3_H2_51,-0.12939109695038958,0.12939109695038958,1.8605527590786861
AttMap_L1_H10_50,-0.12716570252141685,0.12716570252141685,1.9568929552944592
AttMap_L0_H6_51,0.12667273572876245,0.12667273572876245,2.0528596819615217
Spec_L10_H10_self,0.12412358931698209,0.12412358931698209,2.146895186132075
AttMap_L7_H11_101,0.1223057750524704,0.1223057750524704,2.239553521935259
AttMap_L0_H9_50,-0.12107619284691139,0.12107619284691139,2.3312803314809836
AttMap_L3_H11_50,0.12009386221210347,0.12009386221210347,2.422262931509285
AttMap_L1_H0_102,0.11957754757516809,0.11957754757516809,2.512854373761196
GAM_L11_H4_sparsity,-0.11693890928915666,0.11693890928915666,2.6014467948527122
GAM_L11_H0_sparsity,0.11639742271953785,0.11639742271953785,2.6896289880185305
AttMap_L3_H2_50,0.1161912203951413,0.1161912203951413,2.7776549631790326
AttMap_L6_H11_101,0.11205079305367772,0.11205079305367772,2.862544168168139
GAM_L0_H6_confidence_max,0.10768897373448805,0.10768897373448805,2.9441288773636756
AttMap_L10_H10_0,0.10750158334020377,0.10750158334020377,3.0255716203922627
AttMap_L0_H3_50,0.10527929688605714,0.10527929688605714,3.1053307686402203
AttMap_L1_H8_50,0.1049546776940489,0.1049546776940489,3.1848439867668215
AttMap_L2_H5_50,0.10449420020519452,0.10449420020519452,3.264008349103303
AttMap_L9_H6_204,0.10415608463526024,0.10415608463526024,3.342916556519825
AttMap_L10_H4_50,-0.10402833614794818,0.10402833614794818,3.421727982224848
AttMap_L8_H7_1,0.10236647554399728,0.10236647554399728,3.4992803893934785
GAM_L8_H11_sparsity,0.10093350343528931,0.10093350343528931,3.5757471829777274
AttMap_L9_H1_50,-0.09947946230197709,0.09947946230197709,3.6511124011740255
AttMap_L7_H0_251,-0.0991902744565356,0.0991902744565356,3.726258531886665
AttMap_L7_H0_301,-0.09881245723865179,0.09881245723865179,3.801118429879452
AttMap_L8_H0_50,0.09815004674651819,0.09815004674651819,3.875476488496353
AttMap_L2_H3_50,0.09801159792544623,0.09801159792544623,3.9497296588743387
AttMap_L2_H1_50,-0.09765717500809835,0.09765717500809835,4.023714319955213
